# SUPERMICRO-HEALTH-MIB list of identifiers (generated by smidump 0.4.8)

SUPERMICRO-HEALTH-MIB SMHealthInfoTypes                      type        
SUPERMICRO-SSM-MIB    raidVDEncryptionType                   column       1.3.6.1.4.1.10876.100.1.11.1.19
SUPERMICRO-SSM-MIB    raidVDDefaultPSPolicy                  column       1.3.6.1.4.1.10876.100.1.11.1.20
SUPERMICRO-SSM-MIB    raidVDCurrentPSPolicy                  column       1.3.6.1.4.1.10876.100.1.11.1.21
SUPERMICRO-SSM-MIB    raidVDCanSpinUpIn1Min                  column       1.3.6.1.4.1.10876.100.1.11.1.22
SUPERMICRO-SSM-MIB    raidVDSupportT10Power                  column       1.3.6.1.4.1.10876.100.1.11.1.23
SUPERMICRO-SSM-MIB    raidVDSupportsMaxPS                    column       1.3.6.1.4.1.10876.100.1.11.1.24
SUPERMICRO-SSM-MIB    raidVDBadBlocksExist                   column       1.3.6.1.4.1.10876.100.1.11.1.25
SUPERMICRO-SSM-MIB    raidVDCached                           column       1.3.6.1.4.1.10876.100.1.11.1.26
SUPERMICRO-SSM-MIB    raidVDState                            column       1.3.6.1.4.1.10876.100.1.11.1.27
SUPERMICRO-SSM-MIB    raidVDAllinoneStatus                   column       1.3.6.1.4.1.10876.100.1.11.1.28
SUPERMICRO-SSM-MIB    raidVDAllinoneMsg                      column       1.3.6.1.4.1.10876.100.1.11.1.29
SUPERMICRO-SSM-MIB    raidPDTable                            table        1.3.6.1.4.1.10876.100.1.12
SUPERMICRO-SSM-MIB    raidPDEntry                            row          1.3.6.1.4.1.10876.100.1.12.1
SUPERMICRO-SSM-MIB    raidPDIndex                            column       1.3.6.1.4.1.10876.100.1.12.1.1
SUPERMICRO-SSM-MIB    raidAdapterGroup-PD                    column       1.3.6.1.4.1.10876.100.1.12.1.2
SUPERMICRO-SSM-MIB    raidAdapterId-PD                       column       1.3.6.1.4.1.10876.100.1.12.1.3
SUPERMICRO-SSM-MIB    raidDiskGroupId-PD                     column       1.3.6.1.4.1.10876.100.1.12.1.4
SUPERMICRO-SSM-MIB    raidPDSlotNumber                       column       1.3.6.1.4.1.10876.100.1.12.1.5
SUPERMICRO-SSM-MIB    raidPDFirmwareState                    column       1.3.6.1.4.1.10876.100.1.12.1.6
SUPERMICRO-SSM-MIB    raidPDMediaErrorCount                  column       1.3.6.1.4.1.10876.100.1.12.1.7
SUPERMICRO-SSM-MIB    raidPDOtherErrorCount                  column       1.3.6.1.4.1.10876.100.1.12.1.8
SUPERMICRO-SSM-MIB    raidPDPredFailCount                    column       1.3.6.1.4.1.10876.100.1.12.1.9
SUPERMICRO-SSM-MIB    raidPDLastPredFailEventSeqNo           column       1.3.6.1.4.1.10876.100.1.12.1.10
SUPERMICRO-SSM-MIB    raidPDRawSize                          column       1.3.6.1.4.1.10876.100.1.12.1.11
SUPERMICRO-SSM-MIB    raidPDDeviceFwLevel                    column       1.3.6.1.4.1.10876.100.1.12.1.12
SUPERMICRO-SSM-MIB    raidPDInquiryData                      column       1.3.6.1.4.1.10876.100.1.12.1.13
SUPERMICRO-SSM-MIB    raidPDDeviceSpeed                      column       1.3.6.1.4.1.10876.100.1.12.1.14
SUPERMICRO-SSM-MIB    raidPDLinkSpeed                        column       1.3.6.1.4.1.10876.100.1.12.1.15
SUPERMICRO-SSM-MIB    raidPDMediaType                        column       1.3.6.1.4.1.10876.100.1.12.1.16
SUPERMICRO-SSM-MIB    raidPDWriteCache                       column       1.3.6.1.4.1.10876.100.1.12.1.17
SUPERMICRO-SSM-MIB    raidPDNCQSetting                       column       1.3.6.1.4.1.10876.100.1.12.1.18
SUPERMICRO-SSM-MIB    raidPDPort0Linkspeed                   column       1.3.6.1.4.1.10876.100.1.12.1.19
SUPERMICRO-SSM-MIB    raidPDPort0Status                      column       1.3.6.1.4.1.10876.100.1.12.1.20
SUPERMICRO-SSM-MIB    raidPDPort1Linkspeed                   column       1.3.6.1.4.1.10876.100.1.12.1.21
SUPERMICRO-SSM-MIB    raidPDPort1Status                      column       1.3.6.1.4.1.10876.100.1.12.1.22
SUPERMICRO-SSM-MIB    raidPDEnclosureDeviceID                column       1.3.6.1.4.1.10876.100.1.12.1.23
SUPERMICRO-SSM-MIB    raidPDOpProgress                       column       1.3.6.1.4.1.10876.100.1.12.1.24
SUPERMICRO-SSM-MIB    raidPDSpan                             column       1.3.6.1.4.1.10876.100.1.12.1.25
SUPERMICRO-SSM-MIB    raidPDAllinoneStatus                   column       1.3.6.1.4.1.10876.100.1.12.1.26
SUPERMICRO-SSM-MIB    raidPDAllinoneMsg                      column       1.3.6.1.4.1.10876.100.1.12.1.27
SUPERMICRO-SSM-MIB    smSD5TrapMIB                           node         1.3.6.1.4.1.10876.100.3
SUPERMICRO-SSM-MIB    trapFanNormal                          notification 1.3.6.1.4.1.10876.100.3.0.101
SUPERMICRO-SSM-MIB    trapFanWarning                         notification 1.3.6.1.4.1.10876.100.3.0.102
SUPERMICRO-SSM-MIB    trapFanCritical                        notification 1.3.6.1.4.1.10876.100.3.0.103
SUPERMICRO-SSM-MIB    trapVoltageNormal                      notification 1.3.6.1.4.1.10876.100.3.0.201
SUPERMICRO-SSM-MIB    trapVoltageWarning                     notification 1.3.6.1.4.1.10876.100.3.0.202
SUPERMICRO-SSM-MIB    trapVoltageCritical                    notification 1.3.6.1.4.1.10876.100.3.0.203
SUPERMICRO-SSM-MIB    trapTemperatureNormal                  notification 1.3.6.1.4.1.10876.100.3.0.301
SUPERMICRO-SSM-MIB    trapTemperatureWarning                 notification 1.3.6.1.4.1.10876.100.3.0.302
SUPERMICRO-SSM-MIB    trapTemperatureCritical                notification 1.3.6.1.4.1.10876.100.3.0.303
SUPERMICRO-SSM-MIB    trapChassisIntrusionCleared            notification 1.3.6.1.4.1.10876.100.3.0.401
